Date & Time,Usage [kW]
1/27/2023 16:00,0.034595278
1/27/2023 17:00,-0.016975
1/27/2023 18:00,-0.017047222
1/27/2023 19:00,-0.017210278
1/27/2023 20:00,-0.017265833
1/27/2023 21:00,-0.017261944
1/27/2023 22:00,-0.017290833
1/27/2023 23:00,-0.281458611
1/28/2023 0:00,-0.017236944
1/28/2023 1:00,-0.017367222
1/28/2023 2:00,-0.017433056
1/28/2023 3:00,-0.017402778
1/28/2023 4:00,-0.017347778
1/28/2023 5:00,-0.017336667
1/28/2023 6:00,-0.017213056
1/28/2023 7:00,-0.005489167
1/28/2023 8:00,-0.180493611
1/28/2023 9:00,0.0298975
1/28/2023 10:00,-0.008347778
1/28/2023 11:00,-0.092505278
1/28/2023 12:00,-0.082799722
1/28/2023 13:00,-0.0528525
1/28/2023 14:00,0.077136389
1/28/2023 15:00,0.058840556
1/28/2023 16:00,0.022256944
1/28/2023 17:00,-0.016969444
1/28/2023 18:00,-0.017185
1/28/2023 19:00,-0.017328333
1/28/2023 20:00,-0.017375278
1/28/2023 21:00,-0.017359167
1/28/2023 22:00,-0.0172975
1/28/2023 23:00,-0.017317222
1/29/2023 0:00,-0.017278056
1/29/2023 1:00,-0.017299722
1/29/2023 2:00,-0.017288056
1/29/2023 3:00,-0.017187778
1/29/2023 4:00,-0.017128889
1/29/2023 5:00,-0.017086944
1/29/2023 6:00,-0.017193889
1/29/2023 7:00,0.005405833
1/29/2023 8:00,0.122896389
1/29/2023 9:00,0.034259444
1/29/2023 10:00,0.053355
1/29/2023 11:00,0.100245833
1/29/2023 12:00,0.590969444
1/29/2023 13:00,0.561276111
1/29/2023 14:00,0.132858056
1/29/2023 15:00,0.086761111
1/29/2023 16:00,-0.009286389
1/29/2023 17:00,-0.017061111
1/29/2023 18:00,-0.017076389
1/29/2023 19:00,-0.017148333
1/29/2023 20:00,-0.017194444
1/29/2023 21:00,-0.017244722
1/29/2023 22:00,-0.017300833
1/29/2023 23:00,-0.017360278
1/30/2023 0:00,-0.017363333
1/30/2023 1:00,-0.017436111
1/30/2023 2:00,-0.017471667
1/30/2023 3:00,-0.017503889
1/30/2023 4:00,-0.017527778
1/30/2023 5:00,-0.017425278
1/30/2023 6:00,-0.110655556
1/30/2023 7:00,-0.142123056
